"city, state_name",lat,lng,population,density
"Gilbert, Arizona",33.3101,-111.7463,254114,1432
"Glendale, Arizona",33.5791,-112.2311,252381,1582
"North Las Vegas, Nevada",36.2880,-115.0901,251974,992
"Anchorage, Alaska",61.1508,-149.1091,247949.0,65
"Chesapeake, Virginia",36.6778,-76.3024,244835,279
"Barnstable Town, Massachusetts",41.6722,-70.3599,242847.0,286
"Norfolk, Virginia",36.8945,-76.2590,242742,1759
"Fremont, California",37.5265,-121.9852,241110,1201
"Kennewick, Washington",46.1978,-119.1732,240735.0,1186
"Garland, Texas",32.9100,-96.6305,239928,1623
"Irving, Texas",32.8584,-96.9702,239798,1380
"Visalia, California",36.3276,-119.3269,237386.0,1370
"Atlantic City, New Jersey",39.3797,-74.4527,237054.0,1354
"Nashua, New Hampshire",42.7491,-71.4910,233917.0,1118
"Paradise, Nevada",36.0807,-115.1369,233689,1930
"Hialeah, Florida",25.8696,-80.3046,233339,4174
"York, Pennsylvania",39.9651,-76.7315,233184.0,3204
"Arlington, Virginia",38.8786,-77.1011,231803,3442
"Evansville, Indiana",37.9881,-87.5341,230427.0,962
"Avondale, Arizona",33.3858,-112.3236,227289.0,750
"Brownsville, Texas",25.9980,-97.4565,227239.0,533
"Gulfport, Mississippi",30.4271,-89.0703,220987.0,497
"Appleton, Wisconsin",44.2779,-88.3891,220570.0,1156
"Bremerton, Washington",47.5436,-122.7122,218400.0,561
"Hickory, North Carolina",35.7425,-81.3230,218323.0,536
"Tacoma, Washington",47.2431,-122.4531,217827,1690
"San Bernardino, California",34.1417,-117.2946,215784,1341
"College Station, Texas",30.5852,-96.2960,215243.0,890
"Kalamazoo, Michigan",42.2749,-85.5882,215193.0,1192
"Thousand Oaks, California",34.1914,-118.8755,215029.0,885
"Roanoke, Virginia",37.2785,-79.9580,214674.0,900
"Fontana, California",34.0968,-117.4599,214547,1923
"Moreno Valley, California",33.9244,-117.2045,213055,1604
"North Port, Florida",27.0577,-82.1975,209070.0,274
"Fargo, North Dakota",46.8652,-96.8292,208675.0,967
"Green Bay, Wisconsin",44.5150,-87.9896,207557.0,887
"Amarillo, Texas",35.1988,-101.8311,205603.0,756
"Portland, Maine",43.6773,-70.2715,203969.0,1185
"Santa Barbara, California",34.4285,-119.7202,202401.0,1808
"Gainesville, Florida",29.6804,-82.3458,202335.0,820
"Olympia, Washington",47.0417,-122.8959,200915.0,1119
"Frisco, Texas",33.1555,-96.8215,200490,1136
"Yonkers, New York",40.9466,-73.8674,200370,4295
"Norwich, Connecticut",41.5495,-72.0882,200289.0,533
"Spring Valley, Nevada",36.0987,-115.2619,199722,2318
"Glendale, California",34.1818,-118.2468,199303,2525
"Huntington Beach, California",33.6960,-118.0025,199223,2848
"Deltona, Florida",28.9050,-81.2137,198361.0,960
"Aurora, Illinois",41.7637,-88.2901,197757,1696
"Tempe, Arizona",33.3881,-111.9318,195805,1891
"Overland Park, Kansas",38.8870,-94.6870,195494,1003
"Grand Prairie, Texas",32.6872,-97.0209,194543,1039
"Sunrise Manor, Nevada",36.1785,-115.0490,192934,2231
"Waco, Texas",31.5598,-97.1881,192315.0,605
"Salinas, California",36.6884,-121.6317,190972.0,2562
"Waterbury, Connecticut",41.5583,-73.0361,189614.0,1456
"Clarksville, Tennessee",36.5695,-87.3420,188746.0,618
"Cedar Rapids, Iowa",41.9665,-91.6782,188038.0,720
"Sioux Falls, South Dakota",43.5397,-96.7320,187239.0,907
"Huntington, West Virginia",38.4109,-82.4344,186034.0,1073
"Ontario, California",34.0393,-117.6064,185010,1429
"Hagerstown, Maryland",39.6401,-77.7217,184755.0,1272
"Erie, Pennsylvania",42.1168,-80.0733,184484.0,1926
"Vancouver, Washington",45.6366,-122.5967,184463,1461
"Nampa, Idaho",43.5845,-116.5631,184428.0,1167
"Spartanburg, South Carolina",34.9437,-81.9257,182701.0,730
"Gastonia, North Carolina",35.2494,-81.1853,182581.0,577
"Fort Lauderdale, Florida",26.1412,-80.1464,182437,2036
"Lorain, Ohio",41.4409,-82.1840,180279.0,1041
"Murfreesboro, Tennessee",35.8492,-86.4119,179951.0,919
"High Point, North Carolina",35.9907,-79.9938,179913.0,777
"Newport News, Virginia",37.1051,-76.5185,179225,1002
"Rancho Cucamonga, California",34.1248,-117.5666,177603,1709
"Hemet, California",33.7341,-116.9969,177253.0,1125
