"city, province_name",utm easting,utm northing,zone number,zone letter,population,density
"Côte-Saint-Luc, Quebec",604177.1219788274,5035882.9489413025,18,T,32448.00,4662.50
"Val-d’Or, Quebec",292788.61701469077,5331162.376673673,18,U,31862,9.0
"Owen Sound, Ontario",505296.45104279864,4934820.259691353,17,T,31820,1311.1
"Stratford, Ontario",501466.39877517405,4801993.003924485,17,T,31465,1167.5
"Lloydminster, Saskatchewan",566343.7096001029,5903691.599890193,12,U,31410,742.2
"Pointe-Claire, Quebec",592529.1397233276,5033622.633314758,18,T,31380,1662.0
"Orillia, Ontario",625653.700216015,4939736.229563494,17,T,31166,1090.3
"Alma, Quebec",304440.7458070256,5380824.230844444,19,U,30904,158.0
"Orangeville, Ontario",570916.9086911681,4863000.136011324,17,T,30734,69.3
"Fort Erie, Ontario",661876.1237878308,4753472.698382031,17,T,30710,184.7
"LaSalle, Ontario",329419.1065565068,4675904.311264832,17,T,30180,461.8
"Sainte-Julie, Quebec",630021.4434705228,5049101.919926042,18,T,30104,607.8
"Leduc, Alberta",329965.2689324918,5904159.316743592,12,U,29993,706.7
"North Cowichan, British Columbia",447210.5612108898,5408095.9161836635,10,U,29676,147.3
"Chambly, Quebec",633970.6043102216,5032268.655831529,18,T,29120.00,1158.70
"Okotoks, Alberta",290032.53405095224,5623466.097634936,12,U,28881,1471.0
"Sept-Îles, Quebec",686675.259333314,5566001.674916695,19,U,28534,16.1
"Centre Wellington, Ontario",551029.4512870697,4838748.225695728,17,T,28191,69.2
"Saint-Constant, Quebec",611978.0023998853,5025048.611680773,18,T,27359,478.9
"Grimsby, Ontario",617803.8703552518,4784045.377118358,17,T,27314,396.3
"Boisbriand, Quebec",591213.8542949713,5052493.965007967,18,T,26884,966.5
"Conception Bay South, Newfoundland and Labrador",350680.8271789602,5264491.9667070685,22,T,26199,443.3
"Saint-Bruno-de-Montarville, Quebec",628832.9050999847,5043520.109326229,18,T,26107,603.3
"Sainte-Thérèse, Quebec",589633.4452420636,5053949.018309042,18,T,26025,2716.1
"Cochrane, Alberta",677004.2014110687,5673892.406672862,11,U,25853,866.7
"Thetford Mines, Quebec",322228.55553816643,5107729.956512944,19,T,25709,113.3
"Courtenay, British Columbia",356148.43933938444,5505829.287335432,10,U,25599,789.9
"Magog, Quebec",723578.343018094,5016529.91666924,18,T,25358,175.9
"Whitehorse, Yukon",496227.8141872944,6729697.723970403,8,V,25085.00,60.20
"Woolwich, Ontario",541726.281293672,4823878.668051424,17,T,25006,76.7
"Clarence-Rockland, Ontario",484370.02183714363,5036660.637500773,18,T,24512,82.3
"Fort Saskatchewan, Alberta",353933.2791581448,5953842.988401248,12,U,24149,501.3
"East Gwillimbury, Ontario",626655.6345404248,4887897.079468372,17,T,23991,97.9
"Lincoln, Ontario",627699.0681571832,4776447.508776992,17,T,23787,146.1
"La Prairie, Quebec",617355.8696053632,5030703.104603507,18,T,23357,539.7
"Tecumseh, Ontario",341131.8813794353,4678562.998742978,17,T,23229,245.4
"Mount Pearl Park, Newfoundland and Labrador",364049.7726329238,5264410.4680904625,22,T,22957,1456.8
"Amherstburg, Ontario",327732.539118447,4662979.379713833,17,T,21936,118.2
"Saint-Lambert, Quebec",615885.2769587437,5039566.532444671,18,T,21861,2880.6
"Brockville, Ontario",445756.56740554736,4936889.05719059,18,T,21854,1167.8
"Collingwood, Ontario",562270.6247895302,4927707.53533553,17,T,21793,645.1
"Scugog, Ontario",665230.2078252677,4883940.207878305,17,T,21617,45.4
"Kingsville, Ontario",358047.6166781533,4662305.157963801,17,T,21552,87.3
"Baie-Comeau, Quebec",561900.6534077572,5451893.425819157,19,U,21536,64.0
"Paradise, Newfoundland and Labrador",359503.5048019687,5266119.163107516,22,T,21389,731.5
"Uxbridge, Ontario",649368.2105418539,4886528.705099894,17,T,21176,45.6
"Essa, Ontario",597137.5105369568,4900360.141068885,17,T,21083,75.3
"Candiac, Quebec",615872.8788450653,5026230.327485083,18,T,21047,1215.8
"Oro-Medonte, Ontario",612496.1766839202,4935794.172158625,17,T,21036,35.8
"Varennes, Quebec",622003.1238264054,5060054.535809454,18,T,20994,226.9
"Strathroy-Caradoc, Ontario",449699.09797699354,4756279.738650217,17,T,20867,77.1
"Wasaga Beach, Ontario",578142.6787735586,4930167.561354991,17,T,20675,352.6
"New Glasgow, Nova Scotia",527650.5116836182,5048845.2874506945,20,T,20609,911.6
"Wilmot, Ontario",528342.1804950105,4805295.153461135,17,T,20545,77.9
"Essex, Ontario",342848.9262989544,4660771.677143425,17,T,20427,73.5
"Fort St. John, British Columbia",633372.811507398,6235598.208892885,10,V,20155,820.2
"Kirkland, Quebec",588619.355028555,5033566.298088026,18,T,20151,2204.4
"L’Assomption, Quebec",622965.7994664941,5076745.127840528,18,T,20065,202.9
"Westmount, Quebec",609409.6835971647,5037594.403201611,18,T,19931,4952.8
"Saint-Lazare, Quebec",567832.2266899145,5027752.205733655,18,T,19889,289.6
"Chestermere, Alberta",302175.96861778735,5659175.872108908,12,U,19887,603.8
"Huntsville, Ontario",639733.8330726281,5021523.712355679,17,T,19816,27.9
"Corner Brook, Newfoundland and Labrador",432173.79737148824,5419942.969763056,21,U,19806.00,133.60
"Riverview, New Brunswick",360374.45195488044,5102442.50942234,20,T,19667,554.8
"Lloydminster, Alberta",564339.846671418,5903931.15596522,12,U,19645.00,817.30
"Joliette, Quebec",619983.4754753988,5097070.888913437,18,T,19621,860.3
"Yellowknife, Northwest Territories",633774.9484254683,6929327.438465781,11,V,19569.00,185.50
"Squamish, British Columbia",488541.79847643524,5505477.321051181,10,U,19512,186.1
