"city, province_name",x,y,population,density
"Centre Wellington, Ontario",-8946380.120735778,5419133.259362271,28191,69.2
"Saint-Constant, Quebec",-8189774.937661136,5679959.713007992,27359,478.9
"Grimsby, Ontario",-8855465.492604913,5342463.601958378,27314,396.3
"Boisbriand, Quebec",-8218718.005267387,5719661.669940273,26884,966.5
"Conception Bay South, Newfoundland and Labrador",-5898073.976547251,6026824.27775138,26199,443.3
"Saint-Bruno-de-Montarville, Quebec",-8165284.649686615,5705873.054657281,26107,603.3
"Sainte-Thérèse, Quebec",-8220944.395083253,5721778.763792307,26025,2716.1
"Cochrane, Alberta",-12742408.152633645,6654793.973687728,25853,866.7
"Thetford Mines, Quebec",-7937079.693560405,5796388.797364682,25709,113.3
"Courtenay, British Columbia",-13914312.960010754,6392382.829976015,25599,789.9
"Magog, Quebec",-8031701.2607346885,5663606.118760089,25358,175.9
"Whitehorse, Yukon",-15035823.433905747,8557921.429263167,25085.00,60.20
"Woolwich, Ontario",-8959359.973362274,5398631.040826345,25006,76.7
"Clarence-Rockland, Ontario",-8371225.707654173,5697930.805863978,24512,82.3
"Fort Saskatchewan, Alberta",-12602846.90702612,7115950.599836262,24149,501.3
"East Gwillimbury, Ontario",-8840626.604482168,5486093.891735682,23991,97.9
"Lincoln, Ontario",-8842107.15370972,5331780.15222214,23787,146.1
"La Prairie, Quebec",-8181982.573305607,5687886.022760112,23357,539.7
"Tecumseh, Ontario",-9231235.565726686,5197464.491390938,23229,245.4
"Mount Pearl Park, Newfoundland and Labrador",-5878314.766931445,6027186.902827554,22957,1456.8
"Amherstburg, Ontario",-9248790.649424786,5175970.74920631,21936,118.2
"Saint-Lambert, Quebec",-8183841.608801855,5700582.732404122,21861,2880.6
"Brockville, Ontario",-8425026.417554563,5556157.426715246,21854,1167.8
"Collingwood, Ontario",-8929682.197116788,5543147.203861799,21793,645.1
"Scugog, Ontario",-8787115.325257843,5479380.470504484,21617,45.4
"Kingsville, Ontario",-9207980.924099972,5175970.74920631,21552,87.3
"Baie-Comeau, Quebec",-7586423.297561595,6311711.160034913,21536,64.0
"Paradise, Newfoundland and Labrador",-5885094.123920756,6029560.824352469,21389,731.5
"Uxbridge, Ontario",-8809078.660791356,5483519.573767938,21176,45.6
"Essa, Ontario",-8881436.329806982,5504212.120464131,21083,75.3
"Candiac, Quebec",-8184208.963121472,5681544.414062212,21047,1215.8
"Oro-Medonte, Ontario",-8859172.431648327,5553563.267450283,21036,35.8
"Varennes, Quebec",-8174557.563269697,5729742.2614797745,20994,226.9
"Strathroy-Caradoc, Ontario",-9085529.48422737,5305505.149264328,20867,77.1
"Wasaga Beach, Ontario",-8907418.298958134,5546362.8860499505,20675,352.6
"New Glasgow, Nova Scotia",-6973665.160490019,5715301.720663961,20609,911.6
"Wilmot, Ontario",-8977916.932477515,5373055.471883489,20545,77.9
"Essex, Ontario",-9228385.78676238,5173465.558791768,20427,73.5
"Fort St. John, British Columbia",-13452693.295589207,7607644.151328076,20155,820.2
