city,x,y,country,iso2,admin,capital,population,population_proper
Thanh Nê,11848661.36440336,2319063.582464644,Vietnam,VN,Thái Bình,minor,,
Thanh Xuân,11777576.299806481,2391249.611669662,Vietnam,VN,Hà Nội,minor,,
Hòa Vang,12037970.288570981,1803290.9900617583,Vietnam,VN,Đà Nẵng,minor,,
Hoài Ân,12129901.931569736,1615955.2043525632,Vietnam,VN,Bình Định,minor,,
Phú Phong,12124810.512019325,1563851.4709868385,Vietnam,VN,Bình Định,minor,,
Thị Trấn Hòa Bình,11758584.526760202,1038122.6681318382,Vietnam,VN,Bạc Liêu,minor,,
Long Mỹ,11752250.447734065,1082895.2724909727,Vietnam,VN,Hậu Giang,minor,,
Hòn Đất,11680708.973224932,1139764.4515185787,Vietnam,VN,Kiến Giang,minor,,
Thị Trấn Vị Xuyên,11686532.429746803,2591872.2035282343,Vietnam,VN,Hà Giang,minor,,
Thị Trấn Việt Lâm,11684080.61796208,2586714.282435702,Vietnam,VN,Hà Giang,minor,,
Sơn Thịnh,11643439.652985308,2459080.880873026,Vietnam,VN,Yên Bái,minor,,
Tư Nghĩa,12114454.459790828,1698942.0041504116,Vietnam,VN,Quảng Ngãi,minor,,
Phù Yên,11648960.097853238,2423303.090087424,Vietnam,VN,Sơn La,minor,,
Quảng Yên,11889221.956707777,2384975.4923618697,Vietnam,VN,Quảng Ninh,minor,,
Con Cuông,11675326.007928133,2160818.5439114105,Vietnam,VN,Nghệ An,minor,,
Thọ Xuân,11746631.930394746,2264898.149900746,Vietnam,VN,Thanh Hóa,minor,,
Đồng Nai,11951837.055208668,1297924.660722961,Vietnam,VN,Lâm Đồng,minor,,
Sông Mã,11549382.920907311,2397950.455621263,Vietnam,VN,Sơn La,minor,,
Thường Tín,11784420.22210045,2376233.5039531128,Vietnam,VN,Hà Nội,minor,,
Kinh Môn,11861659.139467873,2390641.046110904,Vietnam,VN,Hải Dương,minor,,
Tiểu Cần,11821091.534035534,1097607.0969804807,Vietnam,VN,Trà Vinh,minor,,
Quận Bảy,11881844.591413924,1199440.3331944055,Vietnam,VN,Hồ Chí Minh,minor,,
Vĩnh An,11915099.508176563,1242201.9931559945,Vietnam,VN,Đồng Nai,minor,,
Cao Phong,11724238.901626771,2356672.9298879653,Vietnam,VN,Hòa Bình,minor,,
